demarcation_code,financial_year,opinion_code,opinion_label,report_url
EC131,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC131%20Inxuba%20Yethemba/EC131%20Inxuba%20Yethemba%20Audit%20report%202011-12.pdf
LIM475,2014,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2013-14/02.%20Local%20municipalities/LIM475%20Greater%20Tubatse
EC128,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC128%20Nxuba/EC128%20Nxuba%20Audit%20report%202011-12.pdf
EC126,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC126%20Ngqushwa/EC126%20Ngqushwa%20Audit%20report%202011-12.pdf
EC124,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC124%20Amahlathi/EC124%20Amahlathi%20Audit%20report%202011-12.pdf
EC123,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC123%20Great%20Kei/EC123%20Great%20Kei%20Audit%20report%202011-12.pdf
EC121,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC121%20Mbhashe/EC121%20Mbhashe%20Audit%20Report%202011-12.pdf
EC122,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC122%20Mnquma/EC122%20Mnquma%20Audit%20Report%202011-12.pdf
EC109,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC109%20Koukamma/EC109%20Koukamma%20Audit%20report%202011-12.pdf
EC108,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC108%20Kouga/EC108%20Kouga%20Audit%20Report%202011-12.pdf
EC107,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC107%20Baviaans/EC107%20Baviaans%20Audit%20Report%202011-12.pdf
EC106,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC106%20Sundays%20River%20Valley/EC106%20Sundays%20River%20Valley%20Audit%20Report%202011-12.pdf
EC105,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC105%20Ndlambe/EC105%20Ndlambe%20Audit%20report%202011-12.pdf
EC104,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC104%20Makana/EC104%20Makana%20Audit%20report%202011-12.pdf
EC103,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC103%20Ikwezi/EC103%20Ikwezi%20Audit%20report%202011-12.pdf
EC102,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC102%20Blue%20Crane%20Route/EC102%20Blue%20Crane%20Route%20Audit%20Report%202011-12.pdf
EC101,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/EC101%20Camdeboo/EC101%20Camdeboo%20Audit%20report%202011-12.pdf
DC8,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/03.%20District%20municipalities/DC8%20Siyanda/DC8%20Siyanda%20Audit%20report%202011-12.pdf
DC7,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/03.%20District%20municipalities/DC7%20Pixley%20Ka%20Seme/DC7%20Pixley%20Ka%20Seme%20Audit%20report%202011-12.pdf
DC6,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/03.%20District%20municipalities/DC6%20Namakwa/DC6%20Namakwa%20Audit%20Report%202011-12.pdf
DC5,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/03.%20District%20municipalities/DC5%20Central%20Karoo/DC5%20Central%20Karoo%20Audit%20report%202011-12.pdf
